time,pitch_effort,pitch_position,pitch_velocity
1747041081.89773,0,-0.515262187,-66.74206543
1747041081.90073,0,-0.501762629,-67.966537476
1747041081.90387,0,-0.501762629,-65.386451721
1747041081.90703,0,-0.488263071,-66.536270142
1747041081.91013,0,-0.47476083,-65.243911743
1747041081.9132,0,-0.47476083,-62.67496109
1747041081.91622,0,-0.47476083,-62.67496109
1747041081.91928,0,-0.47476083,-62.67496109
1747041081.9226,0,-0.47476083,-62.67496109
1747041081.92574,0,-0.47476083,-62.67496109
1747041081.9288,0,-0.461261272,-63.83744812
1747041081.9318,0,-0.461261272,-61.319351196
1747041081.93487,0,-0.461261272,-61.319351196
1747041081.938,0,-0.461261272,-61.319351196
1747041081.9411,0,-0.461261272,-61.319351196
1747041081.9448,0,-0.461261272,-61.319351196
1747041081.94772,0,-0.447761714,-62.186042786
1747041081.95124,0,-0.447761714,-59.963737488
1747041081.95443,0,-0.447761714,-59.963737488
